#t                         m_x                       m_y                       m_z                   
+4.999999980020986e-12    +7.869491577148438e-01    -8.897161111235619e-03    -2.927663445007056e-04
+9.999999960041972e-12    +7.864296436309814e-01    -1.770012453198433e-02    -1.002622651867568e-03
+1.499999950638209e-11    +7.854403853416443e-01    -2.607807703316212e-02    -2.132836263626814e-03
+1.999999992008394e-11    +7.839459180831909e-01    -3.367969766259193e-02    -3.664150601252913e-03
+2.500000033378580e-11    +7.821159362792969e-01    -4.017183929681778e-02    -5.545684136450291e-03
+2.999999901276418e-11    +7.803534269332886e-01    -4.528475180268288e-02    -7.700027897953987e-03
+3.499999942646603e-11    +7.791579365730286e-01    -4.883339628577232e-02    -1.003803126513958e-02
+3.999999984016789e-11    +7.788865566253662e-01    -5.069997906684875e-02    -1.247917953878641e-02
+4.500000025386974e-11    +7.795996069908142e-01    -5.079897493124008e-02    -1.495704241096973e-02
+5.000000066757160e-11    +7.810162901878357e-01    -4.906378686428070e-02    -1.741977222263813e-02
+5.500000108127345e-11    +7.826886177062988e-01    -4.545583948493004e-02    -1.981677487492561e-02
+5.999999802552836e-11    +7.841744422912598e-01    -3.998697549104691e-02    -2.208108082413673e-02
+6.499999843923021e-11    +7.851856946945190e-01    -3.274129703640938e-02    -2.413227222859859e-02
+6.999999885293207e-11    +7.856670022010803e-01    -2.388800121843815e-02    -2.588210627436638e-02
+7.499999926663392e-11    +7.857156991958618e-01    -1.366747450083494e-02    -2.725120261311531e-02
+7.999999968033578e-11    +7.854397892951965e-01    -2.365551888942719e-03    -2.817230485379696e-02
+8.500000009403763e-11    +7.849290370941162e-01    +9.696247056126595e-03    -2.859041094779968e-02
+9.000000050773949e-11    +7.841801643371582e-01    +2.216690778732300e-02    -2.846263721585274e-02
+9.500000092144134e-11    +7.829943299293518e-01    +3.466058149933815e-02    -2.776736021041870e-02
+1.000000013351432e-10    +7.810903191566467e-01    +4.675463959574699e-02    -2.651063725352287e-02
+1.050000017488451e-10    +7.784322500228882e-01    +5.802851915359497e-02    -2.473186142742634e-02
+1.100000021625469e-10    +7.754981517791748e-01    +6.813574582338333e-02    -2.250877395272255e-02
+1.150000025762488e-10    +7.731590867042542e-01    +7.682376354932785e-02    -1.993476040661335e-02
+1.199999960510567e-10    +7.722274661064148e-01    +8.387134969234467e-02    -1.708765141665936e-02
+1.249999964647586e-10    +7.730082273483276e-01    +8.903180062770844e-02    -1.403790246695280e-02
+1.299999968784604e-10    +7.750499844551086e-01    +9.202820062637329e-02    -1.085632387548685e-02
+1.349999972921623e-10    +7.773080468177795e-01    +9.261040389537811e-02    -7.626346778124571e-03
+1.399999977058641e-10    +7.787485718727112e-01    +9.063576161861420e-02    -4.448691383004189e-03
+1.449999981195660e-10    +7.789478898048401e-01    +8.613102138042450e-02    -1.429615076631308e-03
+1.499999985332678e-10    +7.783677577972412e-01    +7.930981367826462e-02    +1.330974162556231e-03
