#ExternalField.h_x         ExternalField.h_y         ExternalField.h_z         m_x                       m_y                       m_z                       unnamed               
+0.000000000000000e+00    +0.000000000000000e+00    -1.989436788705554e+06    -1.964133185871327e-02    -3.151935041693518e-02    +5.405029833418280e-01    +8.563490268658145e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.990234158159945e+06    -1.966248931921879e-02    -3.155846825338093e-02    +5.404365143616300e-01    +8.561272243808030e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.991031527614336e+06    -1.968375564865971e-02    -3.159792070368896e-02    +5.403696899993395e-01    +8.559040238822340e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.991828897068728e+06    -1.970510219890005e-02    -3.163756614091148e-02    +5.403025646520604e-01    +8.556798185464354e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.992626266523119e+06    -1.972652992305644e-02    -3.167740690789883e-02    +5.402351354611523e-01    +8.554545976028455e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.993423635977510e+06    -1.974803964843947e-02    -3.171744531807024e-02    +5.401673997020855e-01    +8.552283507872578e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.994221005431901e+06    -1.976963220686575e-02    -3.175768370758324e-02    +5.400993546216407e-01    +8.550010677375849e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.995018374886292e+06    -1.979130845155834e-02    -3.179812446983308e-02    +5.400309974160495e-01    +8.547727378656517e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.995815744340681e+06    -1.981306925133258e-02    -3.183877004417352e-02    +5.399623252378087e-01    +8.545433503990295e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.996613113795072e+06    -1.983491548814554e-02    -3.187962291135037e-02    +5.398933351982859e-01    +8.543128943978825e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.997410483249463e+06    -1.985684806550960e-02    -3.192068561085216e-02    +5.398240243565495e-01    +8.540813586903282e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.998207852703855e+06    -1.987886790046883e-02    -3.196196072518333e-02    +5.397543897289925e-01    +8.538487319308455e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.999005222158246e+06    -1.990097592371978e-02    -3.200345088050776e-02    +5.396844282886711e-01    +8.536150025977763e-01
+0.000000000000000e+00    +0.000000000000000e+00    -1.999802591612637e+06    -1.992317309612525e-02    -3.204515878039190e-02    +5.396141369437147e-01    +8.533801588675957e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.000599961067028e+06    -1.994546038124543e-02    -3.208708715093082e-02    +5.395435125717173e-01    +8.531441888191968e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.001397330521419e+06    -1.996783212171723e-02    -3.212938455988304e-02    +5.394725301443347e-01    +8.529067985597850e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.002194699975811e+06    -1.999030260256173e-02    -3.217176633956016e-02    +5.394012293017074e-01    +8.526685306292745e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.002992069430202e+06    -2.001286620527754e-02    -3.221437699558431e-02    +5.393295857690092e-01    +8.524290994942585e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.003789438884593e+06    -2.003552400918285e-02    -3.225721979446478e-02    +5.392575961123396e-01    +8.521884915402109e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.004586808338985e+06    -2.005827708703438e-02    -3.230029777630955e-02    +5.391852569249972e-01    +8.519466936078934e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.005384177793373e+06    -2.008112653328751e-02    -3.234361404758986e-02    +5.391125647412113e-01    +8.517036922805840e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.006181547247764e+06    -2.010407346491460e-02    -3.238717178086619e-02    +5.390395160348592e-01    +8.514594738808872e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.006978916702155e+06    -2.012711902200683e-02    -3.243097421805086e-02    +5.389661072176806e-01    +8.512140244608403e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.007776286156547e+06    -2.015026436844257e-02    -3.247502467283497e-02    +5.388923346375720e-01    +8.509673297935154e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.008573655610938e+06    -2.017351069285565e-02    -3.251932652600013e-02    +5.388181945779892e-01    +8.507193753784836e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.009371025065329e+06    -2.019685920880451e-02    -3.256388324210002e-02    +5.387436832538542e-01    +8.504701464051621e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.010168394519720e+06    -2.022031115649763e-02    -3.260869834650062e-02    +5.386687968138351e-01    +8.502196277939644e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.010965763974111e+06    -2.024386780236178e-02    -3.265377545971396e-02    +5.385935313332642e-01    +8.499678041245796e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.011763133428503e+06    -2.026753044052769e-02    -3.269911828293981e-02    +5.385178828149046e-01    +8.497146596600148e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.012560502882894e+06    -2.029130039412804e-02    -3.274473058761847e-02    +5.384418471891165e-01    +8.494601783628977e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.013357872337285e+06    -2.031517901529769e-02    -3.279061624234376e-02    +5.383654203077423e-01    +8.492043438376765e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.014155241791676e+06    -2.033916768647645e-02    -3.283677920560388e-02    +5.382885979435614e-01    +8.489471393400920e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.014952611246065e+06    -2.036326782144040e-02    -3.288322352633054e-02    +5.382113757884261e-01    +8.486885477711467e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.015749980700456e+06    -2.038748086638393e-02    -3.292995334402069e-02    +5.381337494514131e-01    +8.484285516717648e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.016547350154847e+06    -2.041180830057602e-02    -3.297697290327919e-02    +5.380557144544336e-01    +8.481671331885122e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.017344719609238e+06    -2.043625163781254e-02    -3.302428654599460e-02    +5.379772662315785e-01    +8.479042740835996e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.018142089063630e+06    -2.046081242735342e-02    -3.307189872020951e-02    +5.378984001255466e-01    +8.476399557114714e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.018939458518021e+06    -2.048549225501319e-02    -3.311981398661736e-02    +5.378191113843687e-01    +8.473741589997917e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.019736827972412e+06    -2.051029274478141e-02    -3.316803700902735e-02    +5.377393951608672e-01    +8.471068644623528e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.020534197426803e+06    -2.053521555987824e-02    -3.321657256451314e-02    +5.376592465086196e-01    +8.468380521723994e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.021331566881194e+06    -2.056026240341016e-02    -3.326542557166089e-02    +5.375786603745143e-01    +8.465677016990260e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.022128936335586e+06    -2.058543502105837e-02    -3.331460104958412e-02    +5.374976316035579e-01    +8.462957921826019e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.022926305789977e+06    -2.061073520170199e-02    -3.336410414958539e-02    +5.374161549307112e-01    +8.460223022639921e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.023723675244368e+06    -2.063616477895935e-02    -3.341394015973697e-02    +5.373342249773447e-01    +8.457472100676350e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.024521044698760e+06    -2.066172563269493e-02    -3.346411451321175e-02    +5.372518362469041e-01    +8.454704931767455e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.025318414153151e+06    -2.068741969136512e-02    -3.351463276528352e-02    +5.371689831262481e-01    +8.451921286717992e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.026115783607539e+06    -2.071324893280898e-02    -3.356550063498986e-02    +5.370856598750028e-01    +8.449120930376071e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.026913153061931e+06    -2.073921538670674e-02    -3.361672398510650e-02    +5.370018606260766e-01    +8.446303621949610e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.027710522516322e+06    -2.076532113613333e-02    -3.366830884097488e-02    +5.369175793789142e-01    +8.443469114531603e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.028507891970713e+06    -2.079156831976495e-02    -3.372026138661004e-02    +5.368328099968094e-01    +8.440617155082603e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.029305261425104e+06    -2.081795913363975e-02    -3.377258798510397e-02    +5.367475461994931e-01    +8.437747483913115e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.030102630879495e+06    -2.084449583392087e-02    -3.382529515630683e-02    +5.366617815636970e-01    +8.434859835035713e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.030900000333886e+06    -2.087118073817355e-02    -3.387838963292220e-02    +5.365755095085318e-01    +8.431953934905132e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.031697369788277e+06    -2.089801622877915e-02    -3.393187831772920e-02    +5.364887232996245e-01    +8.429029503179534e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.032494739242669e+06    -2.092500475508322e-02    -3.398576830477471e-02    +5.364014160409223e-01    +8.426086252168630e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.033292108697060e+06    -2.095214883560045e-02    -3.404006691353158e-02    +5.363135806635483e-01    +8.423123886002284e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.034089478151451e+06    -2.097945106146734e-02    -3.409478165757358e-02    +5.362252099273334e-01    +8.420142101145116e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.034886847605840e+06    -2.100691409882430e-02    -3.414992028189270e-02    +5.361362964086767e-01    +8.417140585489292e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.035684217060231e+06    -2.103454069199278e-02    -3.420549076773667e-02    +5.360468324944537e-01    +8.414119018107676e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.036481586514622e+06    -2.106233366689098e-02    -3.426150132651708e-02    +5.359568103779877e-01    +8.411077069230143e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.037278955969014e+06    -2.109029593411735e-02    -3.431796043080692e-02    +5.358662220472541e-01    +8.408014399440776e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.038076325423405e+06    -2.111843049303272e-02    -3.437487678006231e-02    +5.357750592861509e-01    +8.404930660228475e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.038873694877796e+06    -2.114674043443850e-02    -3.443225940602130e-02    +5.356833136467023e-01    +8.401825491609241e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.039671064332187e+06    -2.117522894588552e-02    -3.449011756773419e-02    +5.355909764642900e-01    +8.398698524136735e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.040468433786578e+06    -2.120389931479760e-02    -3.454846085150604e-02    +5.354980388303607e-01    +8.395549376621000e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.041265803240970e+06    -2.123275493339944e-02    -3.460729914269117e-02    +5.354044915911143e-01    +8.392377656512915e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.042063172695361e+06    -2.126179930322111e-02    -3.466664264790019e-02    +5.353103253355160e-01    +8.389182959226907e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.042860542149752e+06    -2.129103604000562e-02    -3.472650191343322e-02    +5.352155303835725e-01    +8.385964867527335e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.043657911604143e+06    -2.132046887902280e-02    -3.478688781010603e-02    +5.351200967815145e-01    +8.382722951616746e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.044455281058535e+06    -2.135010168016933e-02    -3.484781165552866e-02    +5.350240142665258e-01    +8.379456766289487e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.045252650512923e+06    -2.137993843455787e-02    -3.490928505545138e-02    +5.349272722922047e-01    +8.376165854038422e-01
