#t                         m_x                       m_y                       m_z                       ExternalField.h_x         ExternalField.h_y         ExternalField.h_z     
+0.000000000000000e+00    +0.000000000000000e+00    -5.717297734445253e-18    +9.999317979611917e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.600000000000003e+05
+0.000000000000000e+00    +0.000000000000000e+00    -9.024362110251821e-18    +9.999331752244575e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.604040404040405e+05
+0.000000000000000e+00    +0.000000000000000e+00    +2.017869788627736e-18    +9.999345513943301e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.608080808080804e+05
+0.000000000000000e+00    +0.000000000000000e+00    +4.484155085839414e-18    +9.999359264725778e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.612121212121213e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.726232628759121e-19    +9.999373004603691e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.616161616161615e+05
+0.000000000000000e+00    +0.000000000000000e+00    +5.100726410142334e-18    +9.999386733592373e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.620202020202023e+05
+0.000000000000000e+00    +0.000000000000000e+00    -1.064986832886861e-17    +9.999400451710094e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.624242424242424e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.429324433611313e-18    +9.999414158977245e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.628282828282826e+05
+0.000000000000000e+00    +0.000000000000000e+00    -1.272379005606934e-17    +9.999427855396001e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.632323232323234e+05
+0.000000000000000e+00    +0.000000000000000e+00    +3.755479884390509e-18    +9.999441540981591e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.636363636363636e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.348049122680474e-17    +9.999455215755225e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.640404040404046e+05
+0.000000000000000e+00    +0.000000000000000e+00    +8.744102417386857e-18    +9.999468879732849e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.644444444444446e+05
+0.000000000000000e+00    +0.000000000000000e+00    +9.612907465268244e-18    +9.999482532921490e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.648484848484846e+05
+0.000000000000000e+00    +0.000000000000000e+00    -1.014540088171167e-17    +9.999496175352011e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.652525252525256e+05
+0.000000000000000e+00    +0.000000000000000e+00    +4.792440747990873e-18    +9.999509807017474e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.656565656565658e+05
+0.000000000000000e+00    +0.000000000000000e+00    +3.026804682941604e-18    +9.999523427940742e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.660606060606057e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.445972935894158e-18    +9.999537038142582e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.664646464646467e+05
+0.000000000000000e+00    +0.000000000000000e+00    +2.073921727200729e-18    +9.999550637631772e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.668686868686868e+05
+0.000000000000000e+00    +0.000000000000000e+00    +4.512181055125910e-18    +9.999564226426845e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.672727272727267e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.090210205244708e-17    +9.999577804545700e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.676767676767678e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.614295830902189e-17    +9.999591371982660e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.680808080808080e+05
+0.000000000000000e+00    +0.000000000000000e+00    +7.370829922348537e-18    +9.999604928764588e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.684848484848487e+05
+0.000000000000000e+00    +0.000000000000000e+00    +8.575946601667879e-18    +9.999618474914636e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.688888888888889e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.258366020963685e-17    +9.999632010440480e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.692929292929294e+05
+0.000000000000000e+00    +0.000000000000000e+00    -9.640933434554739e-18    +9.999645535355267e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.696969696969697e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.053609365883209e-17    +9.999659049662809e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.701010101010100e+05
+0.000000000000000e+00    +0.000000000000000e+00    -6.328263864890873e-17    +9.999672553400292e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.705050505050510e+05
+0.000000000000000e+00    +0.000000000000000e+00    +7.034518290910581e-18    +9.999686046560156e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.709090909090912e+05
+0.000000000000000e+00    +0.000000000000000e+00    +6.025583396596713e-18    +9.999699529174503e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.713131313131311e+05
