#t                         ExternalField.h_x         ExternalField.h_y         ExternalField.h_z         m_x                       m_y                       m_z                   
+1.000000013351432e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756529211997986e-01    +2.737526781857014e-02    -6.078876322135329e-04
+2.000000026702864e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756128668785095e-01    +2.737927436828613e-02    -6.072411779314280e-04
+2.999999970665357e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756152659654617e-01    +2.737585268914700e-02    -6.074756383895874e-04
+4.000000053405728e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756165772676468e-01    +2.737408131361008e-02    -6.075999117456377e-04
+4.999999858590343e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756173223257065e-01    +2.737296372652054e-02    -6.076703430153430e-04
+5.999999941330714e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756177991628647e-01    +2.737227082252502e-02    -6.077245925553143e-04
+7.000000024071085e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756180822849274e-01    +2.737177349627018e-02    -6.077229045331478e-04
+8.000000106811456e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756182610988617e-01    +2.737150713801384e-02    -6.077499710954726e-04
+9.000000189551827e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756183803081512e-01    +2.737130410969257e-02    -6.077548605389893e-04
+9.999999717180685e-10    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    +1.756184399127960e-01    +2.737117931246758e-02    -6.077609723433852e-04
+1.099999979992106e-09    +0.000000000000000e+00    +0.000000000000000e+00    +6.366198125000000e+05    +1.632785946130753e-01    +3.804279863834381e-02    +1.326507180929184e-01
+1.199999988266143e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.273239625000000e+06    +1.361564546823502e-01    +2.988663129508495e-02    +2.645413279533386e-01
+1.299999996540180e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.909859375000000e+06    +8.988831192255020e-02    +1.218392886221409e-02    +3.885164260864258e-01
+1.400000004814217e-09    +0.000000000000000e+00    +0.000000000000000e+00    +2.546479250000000e+06    +2.836844697594643e-02    -1.043580472469330e-02    +4.946914315223694e-01
+1.500000013088254e-09    +0.000000000000000e+00    +0.000000000000000e+00    +3.183099000000000e+06    -1.214661635458469e-02    -2.128112129867077e-02    +5.681428313255310e-01
+1.600000021362291e-09    +0.000000000000000e+00    +0.000000000000000e+00    +3.819718750000000e+06    -1.355096511542797e-02    -1.916842721402645e-02    +6.116577386856079e-01
+1.700000029636328e-09    +0.000000000000000e+00    +0.000000000000000e+00    +4.456338500000000e+06    -4.011813551187515e-03    -1.395355537533760e-02    +6.444355845451355e-01
+1.800000037910365e-09    +0.000000000000000e+00    +0.000000000000000e+00    +5.092958500000000e+06    -2.248015487566590e-03    -1.056561712175608e-02    +6.737884283065796e-01
+1.899999935162100e-09    +0.000000000000000e+00    +0.000000000000000e+00    +5.729577000000000e+06    +4.830747377127409e-03    -7.416379172354937e-03    +7.003262042999268e-01
+1.999999943436137e-09    +0.000000000000000e+00    +0.000000000000000e+00    +6.366197000000000e+06    +5.461571272462606e-03    -1.172507181763649e-03    +7.243522405624390e-01
+2.099999951710174e-09    +0.000000000000000e+00    +0.000000000000000e+00    +7.002817500000000e+06    +1.071160892024636e-03    +3.009175416082144e-03    +7.446615099906921e-01
+2.199999959984211e-09    +0.000000000000000e+00    +0.000000000000000e+00    +7.639436500000000e+06    -1.468945527449250e-03    +1.297474955208600e-03    +7.588819265365601e-01
+2.299999968258248e-09    +0.000000000000000e+00    +0.000000000000000e+00    +8.276057000000000e+06    -1.546685234643519e-03    +8.795510511845350e-04    +7.689580321311951e-01
+2.399999976532285e-09    +0.000000000000000e+00    +0.000000000000000e+00    +8.912677000000000e+06    -1.055063912644982e-03    +5.220878520049155e-04    +7.779862284660339e-01
+2.499999984806323e-09    +0.000000000000000e+00    +0.000000000000000e+00    +9.549296000000000e+06    -5.802186788059771e-04    +2.247393858851865e-04    +7.857787013053894e-01
+2.599999993080360e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.018591500000000e+07    -1.722560264170170e-04    -1.655572668823879e-05    +7.919914126396179e-01
+2.700000001354397e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.082253500000000e+07    +3.314580317237414e-05    -2.097559081448708e-05    +7.961859107017517e-01
+2.800000009628434e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.145915500000000e+07    -3.539480530889705e-06    +1.105725800698565e-06    +7.981420159339905e-01
+2.900000017902471e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.209577500000000e+07    +2.235174198506051e-11    -1.847744068861346e-09    +7.987381815910339e-01
+3.000000026176508e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.273239600000000e+07    -1.087784862185970e-09    -1.132488325339409e-09    +7.990164160728455e-01
+3.100000034450545e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.336901600000000e+07    -4.023313626699832e-10    -7.152557435219364e-10    +7.991869449615479e-01
+3.200000042724582e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.400563500000000e+07    +1.657754211681350e-10    -2.682209121473988e-09    +7.993066906929016e-01
+3.300000050998619e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.464225600000000e+07    -1.071021049625642e-09    +1.192092952129187e-10    +7.993972301483154e-01
+3.400000059272656e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.527887500000000e+07    -3.311783292048176e-09    -9.536743617033494e-10    +7.994688749313354e-01
+3.500000067546694e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.591549400000000e+07    -1.974403973648009e-10    +2.384185904258374e-10    +7.995269894599915e-01
+3.600000075820731e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.527887500000000e+07    -4.544854492749550e-10    -2.384185904258374e-10    +7.994694709777832e-01
+3.700000084094768e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.464225500000000e+07    -2.440065371978051e-10    -2.980232449711906e-10    +7.993981242179871e-01
+3.799999870324200e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.400563700000000e+07    -4.805624786996532e-10    +5.960464760645934e-11    +7.993080019950867e-01
+3.899999878598237e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.336901700000000e+07    -1.024454854281487e-09    -2.980232449711906e-10    +7.991892695426941e-01
+3.999999886872274e-09    +0.000000000000000e+00    +0.000000000000000e+00    +1.273239600000000e+07    -5.774200007024888e-10    -7.152557435219364e-10    +7.990210056304932e-01
