#t                         m_x                       m_y                       m_z                   
+5.000000000000000e-12    +9.996519559747177e-01    -1.295241894089438e-02    +1.994427091993519e-02
+9.999999999999999e-12    +9.980857490546740e-01    -4.021275037758731e-02    +4.042076492771091e-02
+1.500000000000000e-11    +9.939123660816065e-01    -8.226153179219621e-02    +6.170351715742828e-02
+2.000000000000000e-11    +9.848583326043664e-01    -1.395304290241632e-01    +8.409112977479409e-02
+2.500000000000000e-11    +9.676435467188408e-01    -2.121700529447138e-01    +1.078742375884454e-01
+3.000000000000000e-11    +9.378906909136271e-01    -2.996553911985881e-01    +1.332618689178350e-01
+3.500000000000000e-11    +8.901841539809924e-01    -4.002090180504180e-01    +1.602712409855473e-01
+4.000000000000000e-11    +8.185090226933308e-01    -5.101010651963616e-01    +1.886383416821324e-01
+4.500000000000001e-11    +7.171130512141515e-01    -6.230715038544389e-01    +2.178787954850470e-01
+5.000000000000001e-11    +5.814839401761500e-01    -7.300279063712013e-01    +2.475244762227329e-01
+5.500000000000001e-11    +4.094126667988303e-01    -8.189690066212494e-01    +2.772712105918442e-01
+6.000000000000001e-11    +2.024601354501670e-01    -8.751932159151181e-01    +3.069289939826328e-01
+6.500000000000001e-11    -3.190758039671379e-02    -8.824585332104238e-01    +3.359468452289175e-01
+7.000000000000000e-11    -2.781247511856295e-01    -8.260645307993605e-01    +3.626669282972192e-01
+7.500000000000000e-11    -5.119394604426194e-01    -6.985221710912652e-01    +3.834241116997310e-01
+8.000000000000000e-11    -7.043306905983970e-01    -5.064885935360546e-01    +3.924465912253844e-01
+8.499999999999999e-11    -8.315487519405935e-01    -2.738923998332461e-01    +3.836336860680593e-01
+8.999999999999999e-11    -8.866568250890662e-01    -3.597477378270250e-02    +3.540984769733215e-01
+9.499999999999998e-11    -8.834496816207092e-01    +1.747750333158735e-01    +3.068011023707471e-01
+9.999999999999998e-11    -8.478456355199043e-01    +3.406417822854416e-01    +2.484951712499477e-01
+1.050000000000000e-10    -8.042193319328224e-01    +4.583518142793684e-01    +1.853137810973178e-01
+1.100000000000000e-10    -7.682543391916818e-01    +5.304842978149942e-01    +1.211842330695261e-01
+1.150000000000000e-10    -7.472588520822963e-01    +5.598939059211723e-01    +5.918660798076462e-02
+1.200000000000000e-10    -7.447999944000681e-01    +5.512406507705431e-01    +1.706496870213830e-03
+1.250000000000000e-10    -7.644865614605830e-01    +5.115420274150544e-01    -4.991338114299731e-02
+1.300000000000000e-10    -8.064498441905967e-01    +4.436132681152433e-01    -9.448666110052288e-02
+1.350000000000000e-10    -8.609209001981638e-01    +3.453707410875400e-01    -1.302139454779738e-01
+1.400000000000000e-10    -9.093028135955682e-01    +2.185511940805788e-01    -1.554033427630606e-01
+1.450000000000000e-10    -9.335010629661374e-01    +7.261895125376491e-02    -1.688883224876910e-01
+1.500000000000000e-10    -9.248405768809657e-01    -7.496941341908225e-02    -1.696324829837223e-01
+1.550000000000000e-10    -8.922718322984040e-01    -2.054990099514690e-01    -1.591158431472434e-01
+1.600000000000000e-10    -8.549565250147467e-01    -3.124745978506769e-01    -1.406673553513776e-01
+1.650000000000001e-10    -8.263350313442510e-01    -3.984709859237664e-01    -1.164431155364118e-01
+1.700000000000001e-10    -8.108628560023847e-01    -4.643815635893737e-01    -8.799089448837701e-02
+1.750000000000001e-10    -8.079009198156736e-01    -5.070406814649483e-01    -5.757683384314542e-02
+1.800000000000001e-10    -8.140643366572573e-01    -5.238843326961603e-01    -2.771214781885339e-02
+1.850000000000001e-10    -8.249729588007981e-01    -5.165550259527706e-01    -1.164148843665705e-04
+1.900000000000001e-10    -8.374009651540621e-01    -4.899637644525969e-01    +2.406112040528056e-02
+1.950000000000001e-10    -8.499178072977016e-01    -4.499206475313909e-01    +4.364265169267225e-02
+2.000000000000001e-10    -8.615890192040432e-01    -4.017425857295702e-01    +5.717640338243688e-02
+2.050000000000001e-10    -8.718183870885952e-01    -3.508206444633499e-01    +6.334777289410910e-02
+2.100000000000001e-10    -8.818031977402929e-01    -3.027782546147698e-01    +6.202900924869348e-02
+2.150000000000001e-10    -8.938825255284821e-01    -2.623918964568950e-01    +5.442688157306443e-02
+2.200000000000001e-10    -9.093488471810122e-01    -2.331064661878687e-01    +4.271214538830240e-02
+2.250000000000002e-10    -9.268611114301682e-01    -2.163753291651017e-01    +2.960446755075044e-02
+2.300000000000002e-10    -9.430734124960071e-01    -2.111486473715889e-01    +1.777120323490227e-02
+2.350000000000002e-10    -9.546957915125734e-01    -2.142892307088836e-01    +9.068538193828777e-03
+2.400000000000002e-10    -9.605435657955438e-01    -2.220982832877859e-01    +4.144572801595835e-03
+2.450000000000001e-10    -9.618010749428556e-01    -2.315822795183988e-01    +2.530563800445363e-03
+2.500000000000001e-10    -9.606420536865441e-01    -2.406724214977057e-01    +3.245503488582167e-03
+2.550000000000001e-10    -9.589810621574585e-01    -2.478131537026415e-01    +5.278673988313049e-03
+2.600000000000001e-10    -9.580080956541720e-01    -2.519149804919828e-01    +7.789252653482117e-03
+2.650000000000001e-10    -9.584437680929074e-01    -2.526330383029679e-01    +1.021385525321606e-02
+2.700000000000000e-10    -9.604241897635606e-01    -2.503115202296930e-01    +1.223624878979854e-02
+2.750000000000000e-10    -9.633858963541152e-01    -2.456302101062433e-01    +1.362170110105130e-02
+2.800000000000000e-10    -9.664654455991797e-01    -2.394738889927393e-01    +1.412237179699660e-02
+2.850000000000000e-10    -9.688621720256987e-01    -2.328818415050136e-01    +1.356574637921464e-02
+2.900000000000000e-10    -9.700703381239193e-01    -2.269698378836814e-01    +1.188635288847220e-02
+2.950000000000000e-10    -9.699027679988513e-01    -2.228599547497637e-01    +9.109321028177148e-03
+2.999999999999999e-10    -9.683196188674427e-01    -2.214882872041767e-01    +5.360057853620324e-03
+3.049999999999999e-10    -9.654501987956937e-01    -2.235079960292104e-01    +8.778127901246991e-04
+3.099999999999999e-10    -9.616533864571523e-01    -2.292158550992054e-01    -3.906643974924964e-03
+3.149999999999999e-10    -9.574712613551420e-01    -2.384554498019704e-01    -8.346884512166402e-03
+3.199999999999999e-10    -9.533952996668044e-01    -2.505763464716411e-01    -1.171192179695307e-02
+3.249999999999999e-10    -9.496739550115674e-01    -2.644727824313954e-01    -1.345098807380170e-02
+3.299999999999998e-10    -9.463686724267739e-01    -2.787552415248917e-01    -1.337107668274411e-02
+3.349999999999998e-10    -9.435446033795506e-01    -2.920049427350473e-01    -1.161317680352248e-02
+3.399999999999998e-10    -9.413751978644244e-01    -3.030177049266892e-01    -8.534504548421747e-03
+3.449999999999998e-10    -9.400515624241307e-01    -3.109476847310281e-01    -4.591869083869743e-03
