#t                         m_x                       m_y                       m_z                       unnamed_x                 unnamed_y                 unnamed_z             
+5.000000000000000e-12    +7.869491452483887e-01    -8.897159666990040e-03    -2.927666675097611e-04    +9.997964326728909e-01    -1.130358746773921e-02    -3.719516966873391e-04
+9.999999999999999e-12    +7.864296429503643e-01    -1.770012605928530e-02    -1.002623813180345e-03    +9.991364198277581e-01    -2.248750506787612e-02    -1.273804943792399e-03
+1.500000000000000e-11    +7.854403724352770e-01    -2.607807480822041e-02    -2.132837761794605e-03    +9.978795798681435e-01    -3.313144988041898e-02    -2.709709513744015e-03
+2.000000000000000e-11    +7.839459767700587e-01    -3.367968594672966e-02    -3.664150924600958e-03    +9.959809928195288e-01    -4.278907991247043e-02    -4.655199189567472e-03
+2.500000000000000e-11    +7.821159462560633e-01    -4.017183105777591e-02    -5.545685711379300e-03    +9.936559912732118e-01    -5.103716501633068e-02    -7.045635444730029e-03
+3.000000000000000e-11    +7.803534188635821e-01    -4.528473808121707e-02    -7.700028360123791e-03    +9.914167505165112e-01    -5.753296748779936e-02    -9.782666303680848e-03
+3.500000000000000e-11    +7.791579676570396e-01    -4.883338558566525e-02    -1.003803390274402e-02    +9.898979638719708e-01    -6.204142287806604e-02    -1.275303562830010e-02
+4.000000000000000e-11    +7.788865302552515e-01    -5.069996375593244e-02    -1.247918310979353e-02    +9.895531103987314e-01    -6.441285717875288e-02    -1.585444603527118e-02
+4.500000000000001e-11    +7.795996416960226e-01    -5.079895383455479e-02    -1.495704640201703e-02    +9.904590981348972e-01    -6.453862124886366e-02    -1.900250063978342e-02
+5.000000000000001e-11    +7.810163215328744e-01    -4.906376951580602e-02    -1.741976741373335e-02    +9.922589494412697e-01    -6.233411908707862e-02    -2.213131740901111e-02
+5.500000000000001e-11    +7.826886520152759e-01    -4.545582012861533e-02    -1.981677179370449e-02    +9.943835975975714e-01    -5.775032234702495e-02    -2.517664307289504e-02
+6.000000000000001e-11    +7.841744301913731e-01    -3.998695539171339e-02    -2.208107951508510e-02    +9.962712363721663e-01    -5.080228575820659e-02    -2.805338141866891e-02
+6.500000000000001e-11    +7.851856643682308e-01    -3.274121456948196e-02    -2.413228200022097e-02    +9.975559805373057e-01    -4.159677880787782e-02    -3.065937564296064e-02
+7.000000000000000e-11    +7.856669884118125e-01    -2.388797016784100e-02    -2.588210286351727e-02    +9.981674889996229e-01    -3.034898443159949e-02    -3.288247311692517e-02
+7.500000000000000e-11    +7.857157241061831e-01    -1.366745509632969e-02    -2.725119888301306e-02    +9.982294063085997e-01    -1.736411168565955e-02    -3.462187054119772e-02
+8.000000000000000e-11    +7.854397740240170e-01    -2.365528416299538e-03    -2.817230077111354e-02    +9.978788196037139e-01    -3.005336350236635e-03    -3.579210420548420e-02
+8.499999999999999e-11    +7.849290581567100e-01    +9.696222995115286e-03    -2.859040685898815e-02    +9.972299696680784e-01    +1.231877462406707e-02    -3.632329605906186e-02
+8.999999999999999e-11    +7.841801736273160e-01    +2.216686931565519e-02    -2.846263640154382e-02    +9.962785332436371e-01    +2.816237491219716e-02    -3.616096733893408e-02
