#t                         m_x                       m_y                       m_z                   
+5.000000000000000e-12    +7.871797948842469e-01    +5.922524689401965e-01    +5.856791603396906e-04
+9.999999999999999e-12    +7.876040170675366e-01    +5.916833100642134e-01    +1.295720203414446e-03
+1.500000000000000e-11    +7.883174213278773e-01    +5.907251141615414e-01    +1.887888753617471e-03
+2.000000000000000e-11    +7.892560167830494e-01    +5.894636359379075e-01    +2.314985567615766e-03
+2.500000000000000e-11    +7.903388081544785e-01    +5.880072895641834e-01    +2.546065267873390e-03
+3.000000000000000e-11    +7.914752842563811e-01    +5.864772586365643e-01    +2.569191275059325e-03
+3.500000000000000e-11    +7.925737910983305e-01    +5.849964506663071e-01    +2.390958979372633e-03
+4.000000000000000e-11    +7.935495441621830e-01    +5.836785169405974e-01    +2.035173056077121e-03
+4.500000000000001e-11    +7.943314076768474e-01    +5.826189590055413e-01    +1.539124062823808e-03
+5.000000000000001e-11    +7.948673319227628e-01    +5.818874835880481e-01    +9.495247461632615e-04
+5.500000000000001e-11    +7.951273468858847e-01    +5.815242978752927e-01    +3.176223224727357e-04
+6.000000000000001e-11    +7.951050029824180e-01    +5.815382058083776e-01    -3.056320333954028e-04
+6.500000000000001e-11    +7.948165720577894e-01    +5.819079002969388e-01    -8.734520817260668e-04
+7.000000000000000e-11    +7.942976643080674e-01    +5.825868899330668e-01    -1.346979932260101e-03
+7.500000000000000e-11    +7.935990855467073e-01    +5.835091537185647e-01    -1.697880645920172e-03
+8.000000000000000e-11    +7.927820311060256e-01    +5.845954898009975e-01    -1.909833867182338e-03
+8.499999999999999e-11    +7.919126490138205e-01    +5.857598639668220e-01    -1.978254828638471e-03
+8.999999999999999e-11    +7.910561549354460e-01    +5.869169116970548e-01    -1.909509263723601e-03
+9.499999999999998e-11    +7.902715513907357e-01    +5.879884683583584e-01    -1.719133776922733e-03
+9.999999999999998e-11    +7.896074192839205e-01    +5.889091314871286e-01    -1.429821961814391e-03
+1.050000000000000e-10    +7.890991618044807e-01    +5.896299089696888e-01    -1.068833858686435e-03
+1.100000000000000e-10    +7.887678522726131e-01    +5.901196795805069e-01    -6.656112704279537e-04
+1.150000000000000e-10    +7.886203405424151e-01    +5.903651906294398e-01    -2.491049818067132e-04
+1.200000000000000e-10    +7.886503722941750e-01    +5.903697001277138e-01    +1.540847832407643e-04
+1.250000000000000e-10    +7.888411246736594e-01    +5.901501816735673e-01    +5.216899716632853e-04
+1.300000000000000e-10    +7.891678725527705e-01    +5.897340450927380e-01    +8.368034215131985e-04
+1.350000000000000e-10    +7.896009442437865e-01    +5.891562553798003e-01    +1.088326464599479e-03
+1.400000000000000e-10    +7.901085822911653e-01    +5.884566529743215e-01    +1.270382261362737e-03
+1.450000000000000e-10    +7.906599234160806e-01    +5.876766764752639e-01    +1.381290920358916e-03
+1.500000000000000e-10    +7.912267767169756e-01    +5.868573641308759e-01    +1.422353571296706e-03
+1.550000000000000e-10    +7.917844549738212e-01    +5.860379683875836e-01    +1.396467293018628e-03
+1.600000000000000e-10    +7.923115357371322e-01    +5.852559518695337e-01    +1.307273777106269e-03
+1.650000000000001e-10    +7.927890389278243e-01    +5.845468911067049e-01    +1.158486356561502e-03
+1.700000000000001e-10    +7.931995970986212e-01    +5.839442446171044e-01    +9.540875605181314e-04
