#t                         ExternalField.h_x         ExternalField.h_y         ExternalField.h_z         m_x                       m_y                       m_z                   
+9.999999999999999e-12    +0.000000000000000e+00    +9.947183943527767e+02    +0.000000000000000e+00    -3.392306232625000e-02    -9.749111009790958e-02    +6.238409855554668e-02
+2.000000000000000e-11    +0.000000000000000e+00    +1.989436788705553e+03    +0.000000000000000e+00    -1.209268043643002e-01    -1.320330810425485e-01    +5.132927922494894e-02
+3.000000000000000e-11    +0.000000000000000e+00    +2.984155183058332e+03    +0.000000000000000e+00    -1.446553983227240e-01    -1.567903174758563e-01    +3.253775031034390e-02
+4.000000000000000e-11    +0.000000000000000e+00    +3.978873577411107e+03    +0.000000000000000e+00    -1.510816924824075e-01    -1.750185659833413e-01    +9.601287559336768e-03
+5.000000000000000e-11    +0.000000000000000e+00    +4.973591971763885e+03    +0.000000000000000e+00    -1.534844264791675e-01    -1.891913160941447e-01    -1.206539804118821e-02
+6.000000000000000e-11    +0.000000000000000e+00    +5.968310366116663e+03    +0.000000000000000e+00    -1.542864058155773e-01    -2.007230458921070e-01    -3.027734622082889e-02
+7.000000000000000e-11    +0.000000000000000e+00    +6.963028760469441e+03    +0.000000000000000e+00    -1.536821246857799e-01    -2.103846952895021e-01    -4.520878517015293e-02
+8.000000000000001e-11    +0.000000000000000e+00    +7.957747154822219e+03    +0.000000000000000e+00    -1.519614739554225e-01    -2.186335743294900e-01    -5.762379895223578e-02
+9.000000000000001e-11    +0.000000000000000e+00    +8.952465549174991e+03    +0.000000000000000e+00    -1.495477824170446e-01    -2.257688674258991e-01    -6.814264595081299e-02
+1.000000000000000e-10    +0.000000000000000e+00    +9.947183943527771e+03    +0.000000000000000e+00    -1.467843957096731e-01    -2.320003178759853e-01    -7.716011318433118e-02
+1.100000000000000e-10    +0.000000000000000e+00    +1.094190233788055e+04    +0.000000000000000e+00    -1.438849107019260e-01    -2.374810389034094e-01    -8.493713641481518e-02
+1.200000000000000e-10    +0.000000000000000e+00    +1.193662073223333e+04    +0.000000000000000e+00    -1.409726761516047e-01    -2.423258159848879e-01    -9.166904083747793e-02
+1.300000000000000e-10    +0.000000000000000e+00    +1.293133912658610e+04    +0.000000000000000e+00    -1.381228323237210e-01    -2.466227491938055e-01    -9.751308734882209e-02
+1.400000000000000e-10    +0.000000000000000e+00    +1.392605752093888e+04    +0.000000000000000e+00    -1.353847456208709e-01    -2.504409618838597e-01    -1.025978175572270e-01
+1.500000000000000e-10    +0.000000000000000e+00    +1.492077591529166e+04    +0.000000000000000e+00    -1.327916363264612e-01    -2.538357987476277e-01    -1.070281160392668e-01
+1.600000000000000e-10    +0.000000000000000e+00    +1.591549430964443e+04    +0.000000000000000e+00    -1.303653349055979e-01    -2.568523375314893e-01    -1.108897778784016e-01
+1.700000000000000e-10    +0.000000000000000e+00    +1.691021270399721e+04    +0.000000000000000e+00    -1.281194358086664e-01    -2.595278737948689e-01    -1.142535254865915e-01
+1.800000000000000e-10    +0.000000000000000e+00    +1.790493109834998e+04    +0.000000000000000e+00    -1.260616332167895e-01    -2.618936789917766e-01    -1.171782020578091e-01
+1.900000000000000e-10    +0.000000000000000e+00    +1.889964949270276e+04    +0.000000000000000e+00    -1.241954331717077e-01    -2.639763166105190e-01    -1.197131708632496e-01
+2.000000000000000e-10    +0.000000000000000e+00    +1.989436788705554e+04    +0.000000000000000e+00    -1.225212949327960e-01    -2.657986160786738e-01    -1.219001174619313e-01
+2.099999999999999e-10    +0.000000000000000e+00    +2.088908628140832e+04    +0.000000000000000e+00    -1.210374878664955e-01    -2.673804022170730e-01    -1.237744254317299e-01
+2.199999999999999e-10    +0.000000000000000e+00    +2.188380467576109e+04    +0.000000000000000e+00    -1.197406609000008e-01    -2.687390744251833e-01    -1.253663161995577e-01
+2.299999999999999e-10    +0.000000000000000e+00    +2.287852307011386e+04    +0.000000000000000e+00    -1.186262211098112e-01    -2.698900612576075e-01    -1.267016849266346e-01
+2.399999999999999e-10    +0.000000000000000e+00    +2.387324146446665e+04    +0.000000000000000e+00    -1.176886905406684e-01    -2.708471576473437e-01    -1.278028480605641e-01
+2.500000000000000e-10    +0.000000000000000e+00    +2.486795985881943e+04    +0.000000000000000e+00    -1.169219023712617e-01    -2.716228076364012e-01    -1.286891163849802e-01
+2.600000000000000e-10    +0.000000000000000e+00    +2.586267825317220e+04    +0.000000000000000e+00    -1.163191708732463e-01    -2.722283457623065e-01    -1.293772473391250e-01
+2.700000000000000e-10    +0.000000000000000e+00    +2.685739664752498e+04    +0.000000000000000e+00    -1.158734151407020e-01    -2.726741504800072e-01    -1.298818821413419e-01
+2.800000000000000e-10    +0.000000000000000e+00    +2.785211504187777e+04    +0.000000000000000e+00    -1.155772609167720e-01    -2.729698166895528e-01    -1.302158366876456e-01
+2.900000000000000e-10    +0.000000000000000e+00    +2.884683343623054e+04    +0.000000000000000e+00    -1.154231240995744e-01    -2.731242749838872e-01    -1.303904276441895e-01
+3.000000000000000e-10    +0.000000000000000e+00    +2.984155183058332e+04    +0.000000000000000e+00    -1.154032579137565e-01    -2.731458889249316e-01    -1.304156674057929e-01
+3.100000000000001e-10    +0.000000000000000e+00    +3.083627022493609e+04    +0.000000000000000e+00    -1.155097915030755e-01    -2.730425334560772e-01    -1.303005041785172e-01
+3.200000000000001e-10    +0.000000000000000e+00    +3.183098861928888e+04    +0.000000000000000e+00    -1.157347915220882e-01    -2.728216798644397e-01    -1.300529711136900e-01
+3.300000000000001e-10    +0.000000000000000e+00    +3.282570701364165e+04    +0.000000000000000e+00    -1.160702810492294e-01    -2.724904307936013e-01    -1.296803515923942e-01
+3.400000000000001e-10    +0.000000000000000e+00    +3.382042540799443e+04    +0.000000000000000e+00    -1.165082850649507e-01    -2.720555884666244e-01    -1.291893034948403e-01
+3.500000000000001e-10    +0.000000000000000e+00    +3.481514380234720e+04    +0.000000000000000e+00    -1.170408553734454e-01    -2.715236803644644e-01    -1.285859861749180e-01
+3.600000000000002e-10    +0.000000000000000e+00    +3.580986219669999e+04    +0.000000000000000e+00    -1.176600796270364e-01    -2.709010034745035e-01    -1.278761444075787e-01
+3.700000000000002e-10    +0.000000000000000e+00    +3.680458059105276e+04    +0.000000000000000e+00    -1.183581354313359e-01    -2.701936397070027e-01    -1.270652008557163e-01
