#N   DemagField.h         DemagFieldPBC.h       OerstedField.h       ExchangeField.h     UniaxialAnisotropyField.h  CubicAnisotropyField.h  InterfaceDMIField.h  BulkDMIField.h      D2dDMIField.h       ExternalField.h         SpinTorqueSlonczewski.h  SpinOrbitTorque.h   SpinTorqueZhangLi.h
10   2.1373351961374283   0.5896681696176529    0.5658804476261139   5.133876495063305   1.8505106419324875         10.906123138964176      3.781205117702484    3.845553085207939   3.12114804238081    1.2271106243133545e-05  2.402425594627857        1.470490276813507   3.1300598308444023
20   0.3227676823735237   0.2138899564743042    0.3439450263977051   6.038416564464569   2.520178847014904          11.826716415584087      3.761348269879818    3.0726167783141136  2.7618274986743927  1.1712312698364258e-05  2.9199914932250977       2.0232288762927055  4.8347810581326485
30   2.1614228561520576   0.2923731058835983    1.042393021285534    6.689444303512573   1.9615534394979477         11.489723339676857      3.7851661443710327   2.83378666639328    2.860005743801594   7.994472980499268e-06   2.993074953556061        1.512150876224041   4.530452206730843
40   1.0830117762088776   0.19652274996042252   0.6853748708963394   6.875430338084698   1.7150374427437782         11.204108692705631      4.0933326333761215   3.2765512615442276  2.4881403669714928  1.0162591934204102e-05  2.0487862154841423       1.9013033360242844  5.60386773198843
50   1.1335477977991104   0.9274940490722656    0.22357884049415588  6.353896729648113   2.149394854903221          14.158232137560844      5.325132578611374    3.924766570329666   2.4784524366259575  9.626150131225586e-06   2.0593235418200493       2.022308148443699   5.3373963460326195
60   3.2273688688874245   0.0103621706366539    0.5784116759896278   6.290305308997631   2.6643637865781784         12.549940265715122      3.7018548622727394   2.7747882604599     3.2064928710460663  8.99285078048706e-06    2.264653727412224        2.0357079207897186  4.8089181780815125
70   1.3631028458476067   0.044533438980579376  0.5500039085745811   7.234134718775749   2.3585804849863052         13.849736109375954      4.031910702586174    3.262251891195774   2.9995475709438324  1.0229647159576416e-05  2.161978915333748        1.9722437262535095  3.7495289221405983
80   0.37242936342954636  0.482040099799633     0.09707871824502945  6.314274750649929   2.5911155492067337         14.993190839886665      4.196127235889435    4.170858733355999   2.5322744846343994  1.0192394256591797e-05  2.2904386445879936       2.341868445277214   4.937905803322792
90   2.2069310322403908   0.6036912873387337    0.4611276537179947   7.1173499301075935  1.739380806684494          14.755756564438343      3.968759849667549    2.4726431891322136  2.9591997116804123  7.770955562591553e-06   2.2253099903464317       2.132386736571789   5.29853942990303
100  0.34438851475715637  0.19699939340353012   0.09950532764196396  6.4288816303014755  2.630783326923847          14.54758457094431       3.9840314462780952   2.9971417114138603  3.1315185353159904  3.7848949432373047e-06  2.3387687504291534       1.8140464052557945  5.417949207127094
110  1.357770100235939    0.012603171169757843  0.589301347732544    6.18542055785656    2.214031957089901          13.992739766836166      4.436799973249435    2.4679924845695496  2.826109915971756   4.738569259643555e-06   1.8812283873558044       2.152315631508827   4.05794283002615
120  2.2875091284513474   0.9029151573777199    0.4987184628844261   7.0239696353673935  1.8588103652000427         13.12561846524477       4.354175269603729    2.887965828180313   2.5070688724517822  8.471310138702393e-06   1.875285342335701        2.8644368574023247  4.283390313386917
130  1.2842164486646652   0.011807523667812347  0.5326277613639832   6.6002775728702545  2.3992895111441612         14.13759159296751       3.8854919150471687   2.9109831154346466  2.3977883607149124  3.293156623840332e-06   2.7109710350632668       1.8791792690753937  5.366653621196747
140  2.179017089307308    0.8081210777163506    0.521883524954319    7.084329724311829   1.6642242223024368         13.28862451016903       4.064298331737518    3.407076545059681   2.3974911719560623  7.539987564086914e-06   1.9573187604546547       1.4853132590651512  5.8470971286296844
150  2.5047096759080887   0.3763389587402344    0.1892099305987358   7.611087866127491   1.6733483672142029         10.818439200520515      4.306251339614391    3.2110320702195168  2.7917636781930923  7.145106792449951e-06   1.8233323842287064       1.546026661992073   4.8454858511686325
160  2.284636653959751    0.011318668723106384  0.18866928666830063  6.056299366056919   1.7282621413469315         14.731663048267365      3.5674600824713707   3.4645352885127068  2.824390672147274   8.888542652130127e-06   2.453537628054619        1.8873534873127937  4.765054523944855
170  1.4369852989912033   0.6694995686411858    0.2549673467874527   7.734450362622738   3.2893724590539932         13.887696549296379      4.116341449320316    3.359605334699154   2.3844674453139305  7.465481758117676e-06   2.6067962646484375       1.669020138680935   4.78044818341732
180  2.275385059416294    0.9776913151144981    0.4113414138555527   7.883695185184479   1.685678593814373          15.291526958346367      4.133277989923954    3.171192839741707   2.463088281452656   9.752810001373291e-06   3.0529256761074066       1.4459897950291634  5.479720324277878
190  0.9571963995695114   0.2322119176387787    0.6655381321907043   6.384196393191814   1.5721574425697327         12.41069132834673       3.7256148234009743   2.4278193935751915  3.100342780351639   9.767711162567139e-06   2.3177793845534325       1.9786123037338257  4.521911665797234
200  1.3417162969708443   0.7989262118935585    0.20291068404912949  5.154585644602776   2.159018188714981          16.194884777069092      3.8181742280721664   2.8491061329841614  3.3318451642990112  9.678304195404053e-06   2.4692814648151398       2.100018985569477   3.7825540378689766
220  1.6027213707566261   0.2840203642845154    0.51417525857687     7.434225596487522   2.542393632233143          11.55165921151638       4.174011781811714    3.60095676779747    3.1468850299715996  1.1563301086425781e-05  1.9501801505684853       2.348199024796486   5.079535514116287
